year,month,current_account,goods_services_balance,trade_balance,exports,imports,services_balance,primary_income,secondary_income
1996,1,5414 ,2211 ,,33994 ,26083 ,-5700 ,3916 ,-713 
,2,6392 ,2954 ,,35080 ,26690 ,-5435 ,4660 ,-1223 
,3,8847 ,4596 ,,36206 ,26533 ,-5077 ,4851 ,-599 
,4,6295 ,1495 ,,34530 ,28133 ,-4903 ,5610 ,-810 
,5,4814 ,197 ,,34336 ,28547 ,-5591 ,5544 ,-927 
,6,5131 ,608 ,,35122 ,28163 ,-6351 ,5295 ,-772 
,7,5902 ,1374 ,,35146 ,28085 ,-5687 ,5376 ,-848 
,8,6401 ,2151 ,,34769 ,27735 ,-4883 ,5141 ,-891 
,9,6261 ,1913 ,,36045 ,28397 ,-5735 ,5147 ,-799 
,10,5911 ,1365 ,,36331 ,29564 ,-5401 ,5187 ,-641 
,11,6302 ,1857 ,,38227 ,29796 ,-6575 ,5345 ,-899 
,12,7635 ,3197 ,,38843 ,29715 ,-5931 ,5271 ,-833 
1997,1,6897 ,2600 ,,39253 ,31422 ,-5232 ,5205 ,-909 
,2,6242 ,2212 ,,39971 ,31639 ,-6120 ,5244 ,-1214 
,3,6925 ,1938 ,,40409 ,32504 ,-5967 ,5981 ,-994 
,4,10094 ,4641 ,,41318 ,31404 ,-5274 ,6303 ,-850 
,5,9610 ,4839 ,,40977 ,30395 ,-5743 ,5809 ,-1039 
,6,9690 ,5086 ,,39875 ,29252 ,-5538 ,5567 ,-963 
,7,8539 ,4176 ,,39276 ,29482 ,-5619 ,5065 ,-702 
,8,9596 ,4971 ,,40057 ,29450 ,-5636 ,5359 ,-734 
,9,9912 ,5094 ,,40477 ,30212 ,-5172 ,5449 ,-631 
,10,12875 ,7518 ,,42220 ,29702 ,-5000 ,6292 ,-936 
,11,12573 ,7758 ,,42066 ,29453 ,-4855 ,5570 ,-756 
,12,12239 ,6784 ,,43216 ,30602 ,-5830 ,6354 ,-900 
1998,1,10072 ,5287 ,,41889 ,31331 ,-5271 ,5755 ,-970 
,2,14489 ,9695 ,,40899 ,26300 ,-4903 ,5605 ,-811 
,3,12718 ,7660 ,,40280 ,27236 ,-5384 ,6026 ,-968 
,4,10335 ,7655 ,,40290 ,26680 ,-5955 ,3608 ,-927 
,5,14335 ,10088 ,,41491 ,26048 ,-5355 ,5007 ,-760 
,6,12254 ,7487 ,,40828 ,27598 ,-5743 ,5825 ,-1057 
,7,12317 ,8141 ,,41479 ,27532 ,-5806 ,5172 ,-995 
,8,13802 ,8756 ,,40982 ,27251 ,-4976 ,5907 ,-860 
,9,13678 ,7856 ,,41009 ,27668 ,-5484 ,6818 ,-996 
,10,11965 ,8140 ,,39203 ,25254 ,-5809 ,4910 ,-1085 
,11,11615 ,7240 ,,37250 ,24633 ,-5377 ,5362 ,-986 
,12,13108 ,8821 ,,37481 ,23484 ,-5176 ,5278 ,-991 
1999,1,12004 ,8412 ,,37628 ,24110 ,-5106 ,4554 ,-962 
,2,8264 ,4828 ,,35651 ,25173 ,-5650 ,4360 ,-924 
,3,10304 ,8085 ,,36959 ,24018 ,-4856 ,4782 ,-2563 
,4,8708 ,6251 ,,37049 ,25446 ,-5353 ,3331 ,-874 
,5,11939 ,6762 ,,37452 ,25747 ,-4944 ,5949 ,-772 
,6,12165 ,6434 ,,37892 ,26257 ,-5200 ,6627 ,-896 
,7,12386 ,7020 ,,38392 ,26041 ,-5332 ,6338 ,-972 
,8,10449 ,5774 ,,38269 ,26424 ,-6071 ,5557 ,-882 
,9,11456 ,7055 ,,38438 ,26265 ,-5118 ,5395 ,-993 
,10,11745 ,6812 ,,37985 ,26310 ,-4863 ,5817 ,-884 
,11,10222 ,5297 ,,38549 ,28180 ,-5072 ,5785 ,-859 
,12,10998 ,5760 ,,38510 ,27449 ,-5301 ,6008 ,-771 
2000,1,12587 ,7948 ,,38778 ,26901 ,-3928 ,5661 ,-1022 
,2,11859 ,7282 ,,39136 ,27473 ,-4381 ,5497 ,-921 
,3,10382 ,5681 ,,39707 ,29125 ,-4901 ,5626 ,-925 
,4,12554 ,7072 ,,40535 ,29030 ,-4433 ,6643 ,-1161 
,5,11786 ,5895 ,,39776 ,29209 ,-4672 ,6653 ,-763 
,6,13979 ,7809 ,,41360 ,29307 ,-4245 ,6615 ,-445 
,7,12451 ,6815 ,,40718 ,29655 ,-4248 ,6399 ,-762 
,8,13383 ,6366 ,,41438 ,30916 ,-4156 ,7791 ,-774 
,9,11218 ,5758 ,,41066 ,31209 ,-4098 ,6484 ,-1023 
,10,10818 ,5124 ,,41614 ,32155 ,-4335 ,6477 ,-783 
,11,11224 ,4960 ,,41558 ,31894 ,-4705 ,7153 ,-889 
,12,8500 ,3186 ,,41368 ,33819 ,-4363 ,6367 ,-1053 
2001,1,8343 ,1946 ,,39949 ,32862 ,-5141 ,7186 ,-789 
,2,10299 ,4105 ,,40952 ,32029 ,-4818 ,6757 ,-563 
,3,9995 ,3439 ,,40798 ,32814 ,-4546 ,7155 ,-599 
,4,9394 ,3645 ,,40504 ,31231 ,-5629 ,6599 ,-850 
,5,5955 ,524 ,,38031 ,32263 ,-5244 ,6473 ,-1042 
,6,6985 ,1327 ,,37572 ,31068 ,-5178 ,6768 ,-1110 
,7,7503 ,1996 ,,37850 ,31187 ,-4666 ,6285 ,-778 
,8,8118 ,2082 ,,37392 ,30051 ,-5259 ,7051 ,-1016 
,9,9476 ,3654 ,,37388 ,29305 ,-4429 ,6509 ,-686 
,10,9459 ,3301 ,,37058 ,29993 ,-3763 ,6985 ,-828 
,11,11087 ,4914 ,,36970 ,28390 ,-3666 ,6928 ,-755 
,12,9258 ,3332 ,,35834 ,28620 ,-3882 ,6786 ,-860 
2002,1,11219 ,4817 ,,38411 ,29274 ,-4321 ,6622 ,-220 
,2,9265 ,3028 ,,39210 ,31685 ,-4497 ,7106 ,-868 
,3,15537 ,6591 ,,40308 ,29481 ,-4236 ,6870 ,2075 
,4,10680 ,6141 ,,40364 ,29731 ,-4492 ,5185 ,-646 
,5,10834 ,5473 ,,41006 ,30242 ,-5291 ,6482 ,-1121 
,6,13618 ,6800 ,,41219 ,29949 ,-4470 ,7499 ,-680 
,7,11195 ,5519 ,,40179 ,30042 ,-4618 ,6790 ,-1114 
,8,10625 ,5428 ,,39447 ,29953 ,-4066 ,6133 ,-936 
,9,10318 ,4827 ,,40877 ,30714 ,-5336 ,6118 ,-627 
,10,11408 ,5812 ,,41662 ,31037 ,-4813 ,6471 ,-875 
,11,11397 ,6163 ,,43680 ,32751 ,-4766 ,6065 ,-832 
,12,10040 ,4301 ,,42042 ,32190 ,-5551 ,6633 ,-894 
2003,1,10141 ,4306 ,,41451 ,32512 ,-4633 ,6799 ,-964 
,2,10091 ,4442 ,,42211 ,33418 ,-4351 ,6713 ,-1063 
,3,11574 ,5676 ,,41566 ,32398 ,-3492 ,6395 ,-498 
,4,13056 ,6775 ,,42075 ,32660 ,-2641 ,6981 ,-700 
,5,14598 ,8097 ,,42070 ,31802 ,-2171 ,7160 ,-658 
,6,13075 ,6984 ,,41881 ,32289 ,-2607 ,6726 ,-636 
,7,14674 ,7549 ,,42535 ,32380 ,-2605 ,8116 ,-992 
,8,14692 ,7433 ,,42856 ,32035 ,-3388 ,7738 ,-479 
,9,14794 ,7521 ,,44050 ,33087 ,-3442 ,7788 ,-514 
,10,15124 ,8088 ,,43534 ,31477 ,-3969 ,7634 ,-597 
,11,15962 ,8187 ,,43976 ,32436 ,-3352 ,8400 ,-625 
,12,13207 ,8144 ,,45235 ,32739 ,-4352 ,6306 ,-1243 
2004,1,17542 ,8763 ,,45597 ,33319 ,-3515 ,9157 ,-379 
,2,17154 ,9697 ,,45881 ,32643 ,-3540 ,7933 ,-476 
,3,14348 ,8468 ,,45895 ,33825 ,-3602 ,6553 ,-673 
,4,17509 ,8937 ,,46897 ,33979 ,-3981 ,9327 ,-754 
,5,18573 ,10363 ,,48706 ,34910 ,-3433 ,8779 ,-569 
,6,15199 ,7612 ,,48733 ,37232 ,-3889 ,8286 ,-698 
,7,16219 ,8640 ,,48558 ,36166 ,-3752 ,8485 ,-905 
,8,17310 ,9214 ,,48694 ,36682 ,-2798 ,8827 ,-731 
,9,15768 ,7804 ,,48842 ,37447 ,-3590 ,8825 ,-861 
,10,15212 ,7370 ,,49521 ,38383 ,-3768 ,8745 ,-903 
,11,14837 ,6263 ,,49489 ,39723 ,-3502 ,9597 ,-1023 
,12,17495 ,8720 ,,48382 ,36623 ,-3039 ,9467 ,-691 
2005,1,15010 ,6572 ,,48851 ,37827 ,-4453 ,9548 ,-1109 
,2,16486 ,7536 ,,48487 ,37618 ,-3333 ,9468 ,-518 
,3,13020 ,6793 ,,49826 ,39408 ,-3624 ,7114 ,-887 
,4,16393 ,7277 ,,51284 ,40674 ,-3333 ,10407 ,-1291 
,5,14557 ,5559 ,,50394 ,41724 ,-3110 ,9659 ,-662 
,6,15249 ,6242 ,,51277 ,41579 ,-3457 ,9543 ,-536 
,7,15524 ,5930 ,,52147 ,42899 ,-3318 ,10087 ,-493 
,8,14109 ,4422 ,,52500 ,44406 ,-3672 ,10559 ,-873 
,9,15332 ,5343 ,,53966 ,44945 ,-3678 ,10272 ,-283 
,10,16609 ,7036 ,,55455 ,45793 ,-2626 ,10493 ,-920 
,11,15419 ,5405 ,,56678 ,47778 ,-3495 ,10611 ,-597 
,12,19778 ,6964 ,,58234 ,48463 ,-2807 ,12640 ,174 
2006,1,16956 ,5925 ,,55918 ,47881 ,-2112 ,11962 ,-932 
,2,17187 ,6167 ,,58574 ,49426 ,-2981 ,12009 ,-989 
,3,16755 ,6419 ,,58641 ,49477 ,-2745 ,11429 ,-1094 
,4,14650 ,3981 ,,58334 ,50817 ,-3536 ,11588 ,-919 
,5,15961 ,6377 ,,58633 ,49080 ,-3175 ,10738 ,-1154 
,6,16227 ,5351 ,,58208 ,49463 ,-3394 ,12054 ,-1177 
,7,17759 ,6679 ,,59727 ,49902 ,-3146 ,12113 ,-1033 
,8,16480 ,5264 ,,60474 ,51762 ,-3448 ,12295 ,-1078 
,9,14331 ,2764 ,,61346 ,55085 ,-3497 ,12509 ,-942 
,10,18550 ,6675 ,,61961 ,52001 ,-3284 ,12844 ,-969 
,11,19850 ,9932 ,,63548 ,50428 ,-3188 ,10860 ,-942 
,12,20649 ,8581 ,,63281 ,51748 ,-2952 ,13179 ,-1110 
2007,1,20866 ,8072 ,,64763 ,52864 ,-3827 ,13773 ,-978 
,2,17827 ,5901 ,,64450 ,55130 ,-3419 ,13142 ,-1216 
,3,23632 ,10712 ,,64334 ,50928 ,-2694 ,14169 ,-1249 
,4,23435 ,9599 ,,64283 ,50788 ,-3896 ,14875 ,-1039 
,5,19337 ,5557 ,,65610 ,55826 ,-4227 ,14810 ,-1030 
,6,19913 ,7337 ,,66814 ,56251 ,-3227 ,13549 ,-973 
,7,18228 ,6539 ,,66283 ,55790 ,-3954 ,12986 ,-1297 
,8,22174 ,10545 ,,68330 ,53727 ,-4058 ,12771 ,-1142 
,9,21379 ,9508 ,,67553 ,54857 ,-3189 ,13118 ,-1247 
,10,23557 ,10807 ,,69642 ,55606 ,-3230 ,13746 ,-996 
,11,20104 ,9308 ,,69152 ,56199 ,-3644 ,11971 ,-1175 
,12,20280 ,6998 ,,69745 ,58465 ,-4282 ,14595 ,-1312 
2008,1,20270 ,7515 ,,69407 ,57954 ,-3939 ,14154 ,-1399 
,2,17035 ,3981 ,,67247 ,58306 ,-4960 ,14181 ,-1127 
,3,19104 ,5840 ,,68071 ,58920 ,-3312 ,13801 ,-537 
,4,13935 ,4320 ,,65027 ,58020 ,-2687 ,10660 ,-1045 
,5,15660 ,4352 ,,67548 ,60581 ,-2615 ,12227 ,-918 
