year,month,usd_jpy
1996,1,105.836
,2,105.726
,3,105.855
,4,107.463
,5,106.506
,6,108.858
,7,109.323
,8,107.752
,9,109.745
,10,112.361
,11,112.257
,12,113.807
1997,1,118.018
,2,123.008
,3,122.642
,4,125.508
,5,118.991
,6,114.205
,7,115.158
,8,117.901
,9,120.745
,10,121.059
,11,125.274
,12,129.467
1998,1,129.453
,2,126.002
,3,128.691
,4,131.67
,5,134.997
,6,140.567
,7,140.734
,8,144.669
,9,134.594
,10,121.298
,11,120.582
,12,117.543
1999,1,113.181
,2,116.662
,3,119.777
,4,119.805
,5,122.114
,6,120.902
,7,119.856
,8,113.405
,9,107.572
,10,105.974
,11,104.956
,12,102.68
2000,1,105.163
,2,109.342
,3,106.707
,4,105.484
,5,108.108
,6,106.23
,7,107.897
,8,108.073
,9,106.752
,10,108.365
,11,108.893
,12,112.206
2001,1,117.095
,2,116.037
,3,121.124
,4,123.828
,5,121.93
,6,122.153
,7,124.68
,8,121.607
,9,118.975
,10,121.281
,11,122.308
,12,127.358
2002,1,132.665
,2,133.518
,3,131.196
,4,131.072
,5,126.484
,6,123.598
,7,118.066
,8,119.006
,9,120.5
,10,123.863
,11,121.488
,12,122.272
2003,1,118.655
,2,119.272
,3,118.568
,4,119.79
,5,117.265
,6,118.264
,7,118.692
,8,118.827
,9,115.19
,10,109.58
,11,109.196
,12,107.901
2004,1,106.481
,2,106.548
,3,108.623
,4,107.254
,5,112.354
,6,109.467
,7,109.364
,8,110.355
,9,110.009
,10,108.924
,11,104.897
,12,103.836
2005,1,103.209
,2,104.881
,3,105.313
,4,107.36
,5,106.913
,6,108.632
,7,111.935
,8,110.722
,9,111.058
,10,114.817
,11,118.407
,12,118.639
2006,1,115.452
,2,117.886
,3,117.312
,4,117.106
,5,111.506
,6,114.534
,7,115.672
,8,115.88
,9,117.009
,10,118.658
,11,117.347
,12,117.303
2007,1,120.578
,2,120.446
,3,117.276
,4,118.834
,5,120.73
,6,122.618
,7,121.589
,8,116.724
,9,115.015
,10,115.741
,11,111.21
,12,112.342
2008,1,107.657
,2,107.164
,3,100.79
,4,102.489
,5,104.139
,6,106.905
,7,106.812
,8,109.28
,9,106.748
,10,100.334
,11,96.814
,12,91.28
2009,1,90.415
,2,92.502
,3,97.872
,4,99.003
,5,96.304
,6,96.517
,7,94.496
,8,94.838
,9,91.493
,10,90.289
,11,89.191
,12,89.55
2010,1,91.159
,2,90.284
,3,90.518
,4,93.377
,5,91.744
,6,90.921
,7,87.716
,8,85.474
,9,84.385
,10,81.867
,11,82.476
,12,83.405
2011,1,82.626
,2,82.531
,3,81.794
,4,83.347
,5,81.233
,6,80.512
,7,79.465
,8,77.221
,9,76.837
,10,76.772
,11,77.544
,12,77.852
2012,1,76.971
,2,78.446
,3,82.435
,4,81.49
,5,79.703
,6,79.321
,7,79.02
,8,78.665
,9,78.173
,10,78.969
,11,80.872
,12,83.644
2013,1,89.183
,2,93.209
,3,94.752
,4,97.71
,5,101.079
,6,97.429
,7,99.707
,8,97.87
,9,99.243
,10,97.851
,11,100.031
,12,103.459
2014,1,103.941
,2,102.127
,3,102.273
,4,102.564
,5,101.792
,6,102.052
,7,101.722
,8,102.957
,9,107.091
,10,108.061
,11,116.223
,12,119.397
2015,1,118.244
,2,118.565
,3,120.387
,4,119.55
,5,120.741
,6,123.75
,7,123.231
,8,123.234
,9,120.221
,10,120.062
,11,122.543
,12,121.84
2016,1,118.252
,2,115.021
,3,113.07
,4,109.877
,5,109.155
,6,105.492
,7,103.904
,8,101.269
,9,102.043
,10,103.818
,11,108.182
,12,115.954
2017,1,114.726
,2,113.062
,3,113.015
,4,110.062
,5,112.212
,6,110.906
,7,112.435
,8,109.915
,9,110.677
,10,112.957
,11,112.918
,12,112.966
2018,1,110.771
,2,107.818
,3,106
,4,107.432
,5,109.687
,6,110.025
,7,111.368
,8,111.058
,9,111.894
,10,112.775
,11,113.365
,12,112.448
2019,1,108.954
,2,110.357
,3,111.206
,4,111.662
,5,109.833
,6,108.057
,7,108.22
,8,106.273
,9,107.413
,10,108.123
,11,108.857
,12,109.177
2020,1,109.341
,2,109.964
,3,107.293
,4,107.93
,5,107.313
,6,107.555
,7,106.78
,8,106.042
,9,105.743
,10,105.242
,11,104.402
,12,103.822
2021,1,103.697
,2,105.356
,3,108.65
,4,109.134
,5,109.191
,6,110.106
,7,110.287
,8,109.836
,9,110.173
,10,113.097
,11,114.131
,12,113.871
2022,1,114.834
,2,115.201
,3,118.51
,4,126.041
,5,128.781
,6,133.862
,7,136.628
,8,135.242
,9,143.141
,10,147.015
,11,142.437
,12,134.925
2023,1,130.203
,2,132.683
,3,133.85
,4,133.334
,5,137.372
,6,141.194
,7,141.206
,8,144.772
,9,147.675
,10,149.527
,11,149.826
,12,144.07
2024,1,146.569
,2,149.418
,3,149.625
,4,153.433
,5,156.133
,6,157.822
,7,158.061
,8,146.233
,9,143.377
,10,149.626
,11,153.716
,12,153.717
2025,1,156.491
,2,151.961
,3,149.175
